"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1009431,"High",483,11.17,23,0,10,4,0
1009432,"High",739,9.7,18,7,9,4,0
1009433,"High",1634,25.88,15,10,0,2,0
1009434,"High",1462,72.42,9,4,3,0,0
1009435,"Low",433,66.4,23,1,6,0,0
1009436,"Low",808,40.68,20,7,7,2,0
1009437,"High",909,57.14,17,9,3,0,0
1009438,"Low",336,28.42,13,11,6,5,0
1009439,"High",593,93.72,30,10,5,5,1
1009440,"High",275,18.46,1,6,9,0,0
1009441,"Low",316,17.41,13,7,5,5,0
1009442,"High",26,87.55,11,11,5,3,0
1009443,"Low",840,65.8,25,4,0,0,0
1009444,"High",1457,2.56,25,3,9,2,0
1009445,"Low",1620,67.95,25,4,10,5,1
1009446,"Low",1059,69.15,29,5,8,5,1
1009447,"Low",748,88.02,8,0,6,0,0
1009448,"Low",186,87.68,27,2,8,2,0
1009449,"Low",272,76.16,11,5,10,4,0
1009450,"High",267,40.52,19,7,9,2,0
1009451,"Low",1142,41.7,24,7,6,5,1
1009452,"Low",548,98.35,15,4,0,3,0
1009453,"High",1362,17.81,26,9,2,0,0
1009454,"High",1033,36.11,4,7,9,5,0
1009455,"High",1321,30.31,15,11,2,4,0
1009456,"Low",1788,43.43,6,5,4,5,0
1009457,"Low",1135,43.08,22,5,4,1,0
1009458,"Low",619,57.33,27,6,2,4,1
1009459,"Low",1459,88.53,7,5,6,2,0
1009460,"Low",387,53.49,26,8,8,2,1
1009461,"High",143,95.68,16,7,10,1,0
1009462,"Low",1693,78.37,11,4,0,5,0
1009463,"High",586,49.94,18,11,9,3,0
1009464,"High",1748,36.49,26,1,10,1,1
1009465,"Low",975,12.24,15,3,8,5,0
1009466,"High",1203,65.06,19,10,6,4,0
1009467,"Low",1446,96.11,4,6,2,1,0
1009468,"High",1141,96.02,15,8,1,5,0
1009469,"Low",626,74.73,30,8,4,5,1
1009470,"High",1272,61.02,27,2,10,3,1
1009471,"Low",222,4.68,1,0,9,1,0
1009472,"High",762,39.34,24,7,4,5,0
1009473,"High",1479,75.5,28,9,7,2,1
1009474,"Low",245,71.61,6,2,6,4,0
1009475,"High",1793,31.05,21,8,4,0,0
1009476,"Low",1458,79.27,24,5,8,2,1
1009477,"High",528,88.64,4,2,9,1,0
1009478,"Low",1821,14.96,13,1,8,4,0
1009479,"Low",1717,34.81,9,7,5,0,0
1009480,"High",803,46.4,20,6,10,3,0
1009481,"High",268,2.83,6,8,1,3,0
1009482,"High",1532,25.85,1,3,3,4,0
1009483,"Low",311,75.9,11,10,4,1,0
1009484,"Low",1771,95.56,26,7,2,5,1
1009485,"High",1042,79.01,5,11,6,4,0
1009486,"Low",1623,95.02,14,9,9,0,0
1009487,"High",548,53.06,27,3,1,4,0
1009488,"High",338,36.19,12,6,5,1,0
1009489,"Low",414,18.58,22,3,3,5,0
1009490,"High",295,29.56,15,11,0,5,0
1009491,"Low",1349,6.25,2,3,8,3,0
1009492,"High",456,5.46,20,1,1,1,0
1009493,"High",404,52.87,20,3,10,1,0
1009494,"High",1278,28.67,27,7,8,2,1
1009495,"Low",838,28.08,3,10,0,2,0
1009496,"High",1209,77.64,25,8,9,4,1
1009497,"High",327,68.4,7,7,1,5,0
1009498,"Low",679,10.7,13,11,5,5,0
1009499,"Low",843,42.54,9,2,1,2,0
1009500,"High",309,5.31,26,5,8,4,0
1009501,"High",226,81.91,4,8,6,1,0
1009502,"Low",257,76.61,22,1,0,0,0
1009503,"Low",34,7.01,5,2,8,2,0
1009504,"High",715,89.85,3,3,0,1,0
1009505,"Low",1512,0.6,1,6,7,5,0
1009506,"High",1330,47.93,22,5,0,1,0
1009507,"High",1774,51.18,3,3,1,2,0
1009508,"High",380,55.21,22,8,2,2,0
1009509,"High",1589,79.51,18,6,7,3,0
1009510,"High",157,38.11,19,2,6,0,0
1009511,"High",1750,29.2,19,6,7,3,0
1009512,"High",591,62.24,28,4,3,0,0
1009513,"Low",875,43.49,16,5,0,0,0
1009514,"Low",1447,92.97,18,7,0,2,0
1009515,"High",1544,27.19,1,7,2,1,0
1009516,"Low",1195,68.73,13,0,10,1,0
1009517,"Low",592,65.89,4,5,3,1,0
1009518,"Low",317,72.16,16,0,10,0,0
1009519,"Low",1168,10.35,18,10,0,0,0
1009520,"High",1086,45.26,17,6,9,3,0
1009521,"High",747,72.23,13,3,9,1,0
1009522,"High",98,34.02,28,1,5,4,0
1009523,"High",829,42.63,30,6,8,3,1
1009524,"Low",349,3,2,3,0,5,0
1009525,"Low",1291,46,4,0,6,4,0
1009526,"Low",437,25.67,8,2,0,2,0
1009527,"High",951,93.59,14,8,7,3,0
1009528,"High",1758,26.09,14,6,6,4,0
1009529,"High",1363,82.32,12,5,2,4,0
1009530,"Low",1814,68.81,18,9,4,3,1
1009531,"Low",1624,3.52,13,4,4,4,0
1009532,"High",437,30.13,9,7,10,5,0
1009533,"High",1151,60.38,7,0,7,4,0
1009534,"Low",185,91.71,25,11,4,2,0
1009535,"Low",1445,59.18,11,8,9,5,0
1009536,"Low",481,47.01,11,2,8,0,0
1009537,"Low",195,21.58,23,5,5,0,0
1009538,"Low",607,93.82,4,2,7,2,0
1009539,"High",1119,11.84,8,8,5,1,0
1009540,"High",1042,53.98,28,5,10,4,1
1009541,"Low",92,55.47,30,4,5,3,0
1009542,"High",1325,44.6,2,9,3,5,0
1009543,"High",1671,44.1,8,10,4,4,0
1009544,"Low",441,0.86,13,0,2,3,0
1009545,"Low",1033,45.97,28,6,0,5,1
1009546,"High",89,49.3,20,8,6,1,0
1009547,"High",389,57.36,9,8,10,1,0
1009548,"High",917,27.44,10,4,8,3,0
1009549,"High",833,44.89,19,5,1,1,0
1009550,"Low",1251,23.17,2,11,4,3,0
1009551,"High",1533,19.86,3,8,1,5,0
1009552,"Low",1613,69.18,20,11,8,0,1
1009553,"High",670,48.19,14,6,8,2,0
1009554,"High",1725,11.58,29,6,7,5,1
1009555,"High",100,83.99,14,5,8,1,0
1009556,"Low",741,75.75,15,4,4,1,0
1009557,"Low",1161,92.45,20,10,1,3,0
1009558,"Low",625,28.41,20,5,0,0,0
1009559,"Low",533,8.66,27,8,4,3,0
1009560,"High",594,34.79,12,0,4,3,0
1009561,"Low",1621,6.66,29,9,5,0,1
1009562,"Low",267,23.74,16,7,4,4,0
1009563,"Low",1796,15.62,4,3,1,5,0
1009564,"High",241,72.9,21,0,5,4,0
1009565,"High",682,46.55,16,4,6,3,0
1009566,"High",1462,81.77,3,9,9,3,0
1009567,"Low",728,61.42,3,3,3,4,0
1009568,"Low",976,85.49,22,8,1,1,0
1009569,"Low",511,46.6,20,8,9,2,0
1009570,"Low",1313,31.75,3,8,8,3,0
1009571,"High",558,39.63,6,3,9,0,0
1009572,"Low",1820,87.26,29,11,2,0,1
1009573,"High",1199,86.29,9,5,5,0,0
1009574,"High",851,32.39,23,6,7,5,0
1009575,"High",669,13.58,2,6,7,1,0
1009576,"Low",355,10.03,24,2,7,2,0
1009577,"Low",175,56.34,27,4,7,0,1
1009578,"High",265,4.56,30,6,9,1,1
1009579,"Low",689,89.02,6,6,2,4,0
1009580,"High",560,22.99,27,9,8,2,1
1009581,"High",615,16.81,15,11,1,3,0
1009582,"Low",886,75.15,27,5,7,5,1
1009583,"High",879,95.88,8,11,10,1,0
1009584,"High",741,29.9,29,4,1,4,0
1009585,"Low",1632,29.19,13,2,10,3,0
1009586,"Low",1818,55.2,12,0,6,2,0
1009587,"High",1340,34.85,2,3,8,2,0
1009588,"High",245,3.8,20,9,3,3,0
1009589,"High",196,19.39,14,8,4,2,0
1009590,"Low",27,50.76,12,6,4,5,0
1009591,"Low",237,13.82,6,6,9,5,0
1009592,"High",1373,52.41,8,5,2,3,0
1009593,"Low",1216,90.44,25,10,6,1,1
1009594,"Low",69,66,5,1,6,2,0
1009595,"High",1495,50.89,11,7,5,3,0
1009596,"High",1437,42.02,4,11,7,4,0
1009597,"Low",263,89.68,26,5,10,1,1
1009598,"High",1644,66.48,22,9,6,0,0
1009599,"High",204,22.01,16,5,1,3,0
1009600,"High",1080,21.77,11,8,7,5,0
1009601,"Low",1506,31.57,19,1,2,2,0
1009602,"High",837,43.11,24,7,1,4,0
1009603,"High",714,40.29,6,10,3,3,0
1009604,"Low",987,38.22,26,10,6,3,1
1009605,"High",963,80.89,29,2,10,4,1
1009606,"High",1019,1.83,1,4,0,4,0
1009607,"Low",804,89.03,27,9,0,1,1
1009608,"High",676,80.77,15,2,1,3,0
1009609,"Low",672,60.4,15,4,10,2,0
1009610,"High",72,77.45,24,4,8,2,0
1009611,"High",232,92.55,29,2,5,5,0
1009612,"High",1310,64.78,21,6,2,5,0
1009613,"High",393,67.56,11,10,1,2,0
1009614,"Low",97,98.99,8,0,10,0,0
1009615,"Low",1153,79.56,10,5,5,1,0
1009616,"Low",1208,34.7,12,0,2,2,0
1009617,"High",1584,75.86,19,3,7,4,0
1009618,"High",1828,18.27,26,11,0,0,1
1009619,"High",1065,80.11,26,9,6,1,0
1009620,"Low",1639,63.14,29,8,3,1,1
1009621,"Low",1433,60.39,30,0,9,2,1
1009622,"Low",1172,2.86,14,4,1,4,0
1009623,"Low",1327,65.74,26,8,9,2,1
1009624,"High",709,39.42,9,9,7,5,0
1009625,"High",1166,8.08,26,4,3,0,0
1009626,"High",268,99.85,23,2,4,4,0
1009627,"Low",1257,29.31,14,3,0,0,0
1009628,"High",158,95.38,13,0,8,2,0
1009629,"Low",613,39.84,24,1,0,5,0
1009630,"Low",204,56.4,5,8,0,0,0
1009631,"Low",57,95.99,28,5,7,4,0
1009632,"High",412,51.77,16,10,5,5,0
1009633,"Low",1227,67.69,5,0,9,2,0
1009634,"Low",554,21.7,12,4,8,4,0
1009635,"Low",258,20.69,1,7,9,5,0
1009636,"High",1486,26.24,22,6,8,3,0
1009637,"High",126,37.7,6,2,5,4,0
1009638,"Low",541,50.26,29,9,9,2,1
1009639,"Low",1240,3.77,4,11,8,3,0
1009640,"High",241,7.11,11,4,1,4,0
1009641,"High",1234,37.6,7,1,10,1,0
1009642,"Low",1446,29.5,20,10,2,2,0
1009643,"High",97,15.58,10,5,2,3,0
1009644,"High",1108,28.43,16,2,6,2,0
1009645,"Low",1379,74.85,6,11,3,4,0
1009646,"High",1185,76.49,12,1,8,5,0
1009647,"Low",1101,60.98,27,2,1,3,0
1009648,"Low",224,54.25,27,8,8,4,1
1009649,"High",855,45.21,29,4,5,0,0
1009650,"Low",1385,57.28,12,7,2,0,0
1009651,"High",1388,53.25,19,8,5,0,0
1009652,"High",362,34.63,25,4,2,2,0
1009653,"Low",1371,27.34,12,10,8,5,0
1009654,"Low",670,1.06,6,5,10,2,0
1009655,"Low",965,27.8,21,6,1,4,0
1009656,"High",1809,29.5,1,9,0,2,0
1009657,"High",451,34.4,5,11,9,0,0
1009658,"Low",163,66.51,15,5,2,1,0
1009659,"Low",1433,73.19,7,1,8,5,0
1009660,"Low",999,6.54,16,10,6,5,0
1009661,"Low",1385,20.97,3,2,10,3,0
1009662,"High",1675,1.62,22,6,9,0,0
1009663,"Low",717,95.9,12,11,10,0,0
1009664,"Low",1552,49.8,9,1,5,2,0
1009665,"High",1479,81.99,25,4,7,1,0
1009666,"Low",1619,38.88,13,2,8,4,0
1009667,"High",1273,3.09,6,7,9,1,0
1009668,"Low",365,25.87,8,2,9,0,0
1009669,"High",570,38.09,12,6,7,1,0
1009670,"Low",487,70.92,30,2,10,0,1
1009671,"High",1093,76.98,13,6,2,1,0
1009672,"Low",1282,81.95,23,11,8,2,1
1009673,"High",583,96.12,7,1,10,1,0
1009674,"High",403,40.2,30,11,10,4,1
1009675,"High",429,6.14,23,8,9,1,0
1009676,"High",816,75.72,24,6,9,3,0
1009677,"High",1181,48.1,5,9,10,0,0
1009678,"High",1732,84.08,19,7,10,0,0
1009679,"High",920,35.39,7,3,5,5,0
1009680,"Low",910,15.03,7,2,9,0,0
1009681,"High",866,90.51,2,2,3,2,0
1009682,"High",481,66.93,22,10,7,3,0
1009683,"High",793,70.92,25,4,1,4,0
1009684,"Low",1065,39.17,3,2,3,5,0
1009685,"High",1470,38.57,7,2,2,5,0
1009686,"Low",112,90.63,2,11,6,3,0
1009687,"High",530,21.07,2,4,8,2,0
1009688,"Low",805,92.39,16,5,7,0,0
1009689,"High",1470,61.84,27,4,4,4,0
1009690,"High",1302,66.81,3,1,5,5,0
1009691,"Low",76,19.98,23,8,7,0,0
1009692,"Low",628,79.41,22,9,3,1,0
1009693,"High",785,4.77,11,5,8,0,0
1009694,"High",744,77.6,20,10,5,2,0
1009695,"Low",441,63.02,1,0,3,3,0
1009696,"High",1368,3.66,20,5,4,5,0
1009697,"High",737,4.86,12,1,0,1,0
1009698,"Low",271,88.12,14,9,10,3,0
1009699,"Low",1226,52.74,10,0,0,5,0
1009700,"Low",1548,82.43,6,8,2,4,0
1009701,"Low",175,14.57,7,7,3,2,0
1009702,"High",878,66.19,12,0,2,1,0
1009703,"High",1347,98.88,21,11,10,4,0
1009704,"High",1220,44.19,23,8,4,4,0
1009705,"High",107,47.24,30,1,1,1,0
1009706,"Low",1158,26.6,28,5,4,2,1
1009707,"Low",1233,14.79,2,7,5,4,0
1009708,"High",1438,4.38,9,3,3,4,0
1009709,"High",498,10.05,28,2,10,1,0
1009710,"High",18,95.87,10,4,7,5,0
1009711,"High",1160,97.18,9,1,8,3,0
1009712,"Low",901,12.53,2,8,3,3,0
1009713,"High",968,77.32,9,10,9,4,0
1009714,"Low",409,60.11,7,1,10,3,0
1009715,"High",489,94.1,9,7,10,0,0
1009716,"High",1761,79.56,2,9,8,1,0
1009717,"Low",599,65.73,19,8,0,4,0
1009718,"High",303,85.95,9,8,10,5,0
1009719,"High",680,26.5,20,6,10,1,0
1009720,"High",1301,13.26,19,1,9,1,0
1009721,"High",458,46.02,13,7,10,4,0
1009722,"Low",1169,94.94,5,7,4,5,0
1009723,"Low",1063,61.81,25,5,10,2,1
1009724,"Low",229,47.89,7,6,1,0,0
1009725,"High",1315,47.81,8,3,6,2,0
1009726,"High",1592,84.06,3,5,2,3,0
1009727,"Low",1611,34.21,22,10,6,1,1
1009728,"Low",386,91.04,13,9,10,5,0
1009729,"Low",1702,35.24,2,9,3,4,0
1009730,"High",1586,26.52,5,5,9,2,0
1009731,"High",418,0.21,7,9,6,4,0
1009732,"Low",625,23.48,2,11,9,0,0
1009733,"High",309,67.52,9,11,6,4,0
1009734,"High",1105,51.7,27,1,2,3,0
1009735,"High",788,2.07,18,5,1,0,0
1009736,"High",1396,11.35,5,11,6,4,0
1009737,"High",901,79.68,24,2,1,0,0
1009738,"High",829,70,20,5,8,4,0
1009739,"Low",519,74.13,22,8,7,3,0
1009740,"High",1401,65.36,23,4,0,3,0
1009741,"High",888,84.16,18,6,3,4,0
1009742,"High",943,87.75,28,1,7,2,0
1009743,"Low",1350,84.04,12,7,7,0,0
1009744,"High",1487,30.36,28,8,7,5,1
1009745,"High",744,3.3,24,5,2,5,0
1009746,"High",832,21.72,1,0,10,0,0
1009747,"Low",1525,78.7,20,11,6,1,1
1009748,"Low",1424,70.83,2,10,6,0,0
1009749,"Low",1386,7.99,7,2,2,3,0
1009750,"Low",345,87.63,30,8,2,4,1
1009751,"Low",1004,74.49,10,7,6,3,0
1009752,"Low",866,31.79,9,10,0,1,0
1009753,"High",440,39.93,12,7,2,5,0
1009754,"Low",1784,79.81,7,10,7,0,0
1009755,"High",877,1.93,5,4,0,3,0
1009756,"High",318,19.91,20,3,9,2,0
1009757,"High",376,25.12,16,10,6,3,0
1009758,"High",297,68.07,13,1,6,5,0
1009759,"High",1818,42.71,26,10,10,1,1
1009760,"Low",999,93.91,18,5,7,2,0
1009761,"Low",794,62.55,24,10,6,1,1
1009762,"High",1793,94.76,2,10,8,1,0
1009763,"Low",125,31.33,18,2,0,1,0
1009764,"Low",1480,3.51,17,6,3,0,0
1009765,"High",1209,36.02,6,7,0,3,0
1009766,"Low",1577,65.88,24,11,9,0,1
1009767,"High",1268,96.45,6,7,9,0,0
1009768,"High",440,26.28,3,4,0,5,0
1009769,"High",535,34.12,28,4,0,3,0
1009770,"High",765,57,27,4,2,0,0
1009771,"Low",965,96.35,27,4,9,5,1
1009772,"High",263,32.26,11,8,7,3,0
1009773,"High",627,38.95,16,3,0,2,0
1009774,"Low",483,34.55,5,7,2,0,0
1009775,"Low",153,55.02,1,11,6,3,0
1009776,"High",344,82.23,8,7,4,4,0
1009777,"Low",1293,64.36,11,2,3,4,0
1009778,"High",1629,38.54,24,3,10,5,0
1009779,"High",1420,10.84,20,5,4,5,0
1009780,"High",1805,33.94,7,7,4,1,0
1009781,"High",1814,80.05,25,4,3,2,0
1009782,"High",515,88.4,27,2,7,0,0
1009783,"High",1648,75.24,16,8,0,5,0
1009784,"High",300,84.68,19,8,1,1,0
1009785,"Low",745,71.55,20,11,6,3,0
1009786,"Low",464,83.4,3,5,8,1,0
1009787,"Low",305,42.72,10,11,4,0,0
1009788,"Low",110,92.6,1,9,1,0,0
1009789,"Low",1410,60.16,5,9,10,2,0
1009790,"High",369,51.98,8,7,10,3,0
1009791,"High",290,9.5,1,8,4,1,0
1009792,"Low",35,9.32,1,10,0,4,0
1009793,"High",122,8.27,17,3,3,2,0
1009794,"Low",286,30.76,7,2,3,0,0
1009795,"Low",446,71.59,26,4,3,4,0
1009796,"High",1539,97.62,21,8,8,0,0
1009797,"Low",247,39.28,23,10,10,4,1
1009798,"High",1132,24.62,2,4,0,4,0
1009799,"High",1777,19.96,12,2,3,5,0
1009800,"Low",162,98.26,23,4,10,2,0
1009801,"High",1416,59.61,8,3,8,0,0
1009802,"High",1240,59.75,12,5,10,4,0
1009803,"Low",1183,14.2,30,8,4,1,1
1009804,"Low",813,68.83,26,6,3,1,1
1009805,"High",578,63.31,27,1,8,0,0
1009806,"Low",113,9.09,5,8,0,0,0
1009807,"Low",1566,15.29,6,10,0,0,0
1009808,"High",249,54.66,12,11,7,0,0
1009809,"High",318,22.75,30,2,6,3,0
1009810,"Low",563,32.24,23,7,2,5,0
1009811,"Low",1595,53.55,30,2,5,2,1
1009812,"Low",160,97.81,12,5,10,5,0
1009813,"High",54,57.77,6,8,10,5,0
1009814,"Low",309,74.23,30,7,6,3,1
1009815,"High",1745,18.61,18,11,2,3,0
1009816,"High",544,94.56,8,1,8,1,0
1009817,"Low",226,68.17,27,2,4,1,0
1009818,"Low",1304,45.68,25,6,6,2,1
1009819,"Low",742,62.07,2,6,3,0,0
1009820,"Low",614,63.71,11,3,10,3,0
1009821,"High",1386,62.82,21,4,3,3,0
1009822,"Low",1827,91.86,3,6,8,1,0
1009823,"Low",535,79.34,26,3,0,4,0
1009824,"High",1032,79.26,7,10,0,4,0
1009825,"High",1641,10.17,14,8,8,4,0
1009826,"Low",1045,57.6,30,9,9,2,1
1009827,"Low",428,72.78,2,11,2,4,0
1009828,"High",699,75.51,15,6,5,3,0
1009829,"High",793,4.05,3,9,0,1,0
1009830,"High",396,90.97,22,1,9,5,0
1009831,"Low",609,62.28,17,5,9,2,0
1009832,"Low",849,81.83,4,0,1,5,0
1009833,"High",639,33.96,23,8,6,5,0
1009834,"High",386,77.86,1,4,1,2,0
1009835,"High",113,77.92,6,10,9,5,0
1009836,"High",472,8.59,30,4,0,4,0
1009837,"Low",1304,47.15,29,10,4,1,1
1009838,"High",622,56.85,30,9,3,1,0
1009839,"High",1562,91.5,25,8,4,4,0
1009840,"High",604,88.8,21,5,7,2,0
1009841,"Low",658,46.72,17,5,8,5,0
1009842,"High",304,23.24,13,9,7,4,0
1009843,"High",324,64.3,15,2,6,0,0
1009844,"High",1473,45.05,30,6,7,1,1
1009845,"Low",385,68.3,25,11,5,3,1
1009846,"Low",532,21.73,19,7,3,3,0
1009847,"Low",1079,28.12,8,4,5,2,0
1009848,"Low",1282,56.33,23,1,3,3,0
1009849,"High",652,95.53,1,1,3,3,0
1009850,"Low",1011,25.7,28,9,0,2,1
1009851,"Low",266,51.86,8,2,4,0,0
1009852,"High",727,60.83,14,7,10,2,0
1009853,"Low",1648,67.14,13,0,1,1,0
1009854,"High",647,51.82,29,3,5,0,0
1009855,"Low",1050,40.51,21,1,5,2,0
1009856,"High",1771,90.27,11,0,6,3,0
1009857,"Low",696,54.72,3,4,10,0,0
1009858,"Low",449,2.34,14,2,1,0,0
1009859,"High",449,78.51,19,4,1,1,0
1009860,"High",916,83.47,3,9,2,2,0
1009861,"High",1348,26.76,14,0,4,3,0
1009862,"High",1440,55.04,22,10,5,1,0
1009863,"High",1498,93.88,10,8,9,0,0
1009864,"Low",830,95.57,28,7,8,3,1
1009865,"High",1202,36.81,6,3,3,3,0
1009866,"Low",1536,7.62,26,10,5,3,1
1009867,"Low",233,26.95,6,4,5,3,0
1009868,"High",1752,20.63,11,5,8,5,0
1009869,"High",602,38.06,29,3,9,4,1
1009870,"Low",466,33.44,21,3,2,4,0
1009871,"High",797,1.27,24,6,8,0,0
1009872,"High",1173,77.09,25,4,1,1,0
1009873,"Low",570,89.76,23,7,4,0,0
1009874,"Low",1595,2.67,2,2,5,1,0
1009875,"Low",1100,56.57,9,4,0,4,0
1009876,"High",550,34.05,6,6,9,3,0
1009877,"Low",1517,32.6,10,0,1,5,0
1009878,"Low",751,55.33,8,2,1,2,0
1009879,"Low",760,20.82,4,10,0,3,0
1009880,"Low",602,9.82,2,1,0,1,0
1009881,"High",283,9.88,15,0,0,4,0
1009882,"High",1517,4.08,16,7,3,2,0
1009883,"High",467,72.74,26,6,1,5,0
1009884,"High",1516,47.7,17,4,2,3,0
1009885,"High",881,35.51,27,5,5,1,0
1009886,"Low",1543,19.46,14,2,8,2,0
1009887,"High",129,43.69,15,0,7,5,0
1009888,"Low",734,36.33,6,11,4,2,0
1009889,"Low",556,94.7,25,8,2,4,0
1009890,"High",199,15.79,26,1,9,3,0
1009891,"Low",1346,68.23,6,5,4,5,0
1009892,"Low",412,12.12,23,9,9,2,1
1009893,"High",55,27.94,22,5,7,0,0
1009894,"High",908,9.47,28,7,5,4,0
1009895,"Low",503,33.33,3,7,9,1,0
1009896,"High",1135,55.28,8,1,4,4,0
1009897,"Low",542,34.54,22,0,1,3,0
1009898,"High",1398,36.98,29,1,1,3,0
1009899,"Low",95,64.99,1,8,8,3,0
1009900,"High",1459,21.54,14,8,1,1,0
1009901,"High",97,59.71,26,8,5,3,0
1009902,"Low",868,5.07,20,10,9,0,0
1009903,"High",290,39.79,25,6,8,3,0
1009904,"Low",1807,0.24,7,1,8,5,0
1009905,"High",218,36.49,9,8,2,4,0
1009906,"High",1253,54.07,29,0,4,0,0
1009907,"High",55,88.23,23,9,6,2,0
1009908,"High",121,18.18,11,1,2,1,0
1009909,"High",993,74.94,13,9,2,2,0
1009910,"Low",1261,75.8,5,11,9,5,0
1009911,"Low",1201,63.21,12,10,1,4,0
1009912,"Low",702,87.18,17,9,5,4,0
1009913,"High",1010,78.95,15,6,2,2,0
1009914,"Low",934,1.05,29,1,6,0,1
1009915,"High",26,65.45,24,0,7,1,0
1009916,"Low",139,98.67,4,2,4,3,0
1009917,"High",694,52.83,20,7,1,0,0
1009918,"Low",1082,17.79,6,4,2,3,0
1009919,"High",144,39.51,5,9,8,1,0
1009920,"Low",1520,62.2,24,2,4,0,1
1009921,"Low",1438,53.2,8,8,8,5,0
1009922,"High",848,73.48,19,9,6,4,0
1009923,"High",506,25.98,18,11,0,5,0
1009924,"High",1163,76.81,3,4,6,2,0
1009925,"Low",1377,87.97,24,9,5,2,1
1009926,"Low",785,63.35,15,1,0,1,0
1009927,"High",353,64.55,1,11,7,1,0
1009928,"Low",1108,81.7,1,11,0,3,0
1009929,"High",692,7.3,24,2,4,4,0
1009930,"High",802,43.35,26,7,7,1,0
1009931,"Low",505,50.12,11,11,0,5,0
1009932,"Low",1559,88.44,22,8,7,5,1
1009933,"High",1765,98.79,14,2,2,0,0
1009934,"Low",1282,62.99,7,6,8,0,0
1009935,"High",742,40.45,12,3,5,3,0
1009936,"Low",529,2.4,17,8,10,5,0
1009937,"Low",1725,75.25,8,7,6,2,0
1009938,"Low",900,69.02,10,6,5,4,0
1009939,"High",403,50.08,14,5,0,1,0
1009940,"Low",566,40.29,14,7,7,4,0
1009941,"High",405,65.63,21,10,6,0,0
1009942,"Low",480,45.05,8,2,10,2,0
1009943,"High",554,17.45,21,0,9,5,0
1009944,"High",1144,50.35,22,6,9,5,0
1009945,"Low",143,6.96,23,11,0,5,0
1009946,"High",1347,73.13,26,2,2,2,0
1009947,"High",1029,27.57,29,1,9,5,1
1009948,"High",486,43.06,12,6,2,0,0
1009949,"High",705,40.01,15,4,6,4,0
1009950,"High",1350,32.72,16,2,0,1,0
1009951,"High",207,56.46,19,9,0,1,0
1009952,"High",1356,32.25,29,2,1,1,0
1009953,"Low",896,91.33,17,6,10,4,0
1009954,"High",1294,74.16,17,0,3,5,0
1009955,"High",313,1.36,12,11,2,2,0
1009956,"Low",1400,34.48,20,4,2,2,0
1009957,"High",1204,45.65,13,6,9,4,0
1009958,"High",1499,86.97,27,5,0,0,0
1009959,"Low",882,7.7,9,7,10,1,0
1009960,"Low",697,38.73,24,1,10,4,0
1009961,"High",360,53.63,21,6,3,5,0
1009962,"Low",1551,33.15,17,3,2,4,0
1009963,"Low",1336,46.88,22,6,9,2,1
1009964,"Low",777,87.2,25,1,3,4,0
1009965,"Low",408,22.29,23,4,10,2,1
1009966,"High",1131,29.51,18,11,0,2,0
1009967,"High",362,39.56,15,0,5,3,0
1009968,"High",1404,75.61,17,3,10,3,0
1009969,"High",684,74.36,3,11,8,5,0
1009970,"Low",233,39.95,11,9,4,3,0
1009971,"Low",374,7.28,17,11,4,2,0
1009972,"High",1643,81.17,15,7,10,3,0
1009973,"High",523,71.34,5,6,2,2,0
1009974,"High",307,88.47,5,4,1,3,0
1009975,"High",898,16.28,24,1,7,4,0
1009976,"High",1018,34.6,27,10,5,3,1
1009977,"Low",686,10.5,13,6,9,0,0
1009978,"High",69,58.31,12,9,10,0,0
1009979,"Low",1051,7.94,16,9,10,2,0
1009980,"Low",246,98.77,24,3,5,2,0
1009981,"Low",66,89.17,11,4,10,2,0
1009982,"Low",429,61.29,6,5,1,0,0
1009983,"Low",1447,62.03,9,8,6,0,0
1009984,"Low",1403,47.52,22,10,6,5,1
1009985,"Low",724,1.58,18,9,7,2,0
1009986,"Low",810,97.17,28,5,9,2,1
1009987,"High",779,15.55,15,2,10,0,0
1009988,"High",1077,62.8,5,7,2,0,0
1009989,"Low",387,66.71,14,5,5,1,0
1009990,"Low",486,6.44,27,6,8,2,1
1009991,"Low",431,5.57,22,1,10,4,0
1009992,"Low",56,57.76,27,3,2,1,0
1009993,"Low",661,68.1,15,11,6,5,0
1009994,"Low",628,36.13,11,7,4,1,0
1009995,"Low",1368,21.66,24,10,9,1,1
1009996,"Low",1512,71.49,15,7,2,5,0
1009997,"High",1396,6.56,15,3,0,5,0
1009998,"High",1252,83.12,10,8,4,4,0
1009999,"Low",1668,92.58,1,2,7,1,0
1010000,"Low",685,26.98,4,5,5,5,0
1010001,"High",1772,80.55,26,10,6,5,1
1010002,"High",1106,41.28,13,9,3,5,0
1010003,"High",1267,47.23,4,8,2,2,0
1010004,"Low",207,54.73,4,10,6,3,0
1010005,"High",163,90.41,10,1,4,0,0
1010006,"Low",472,62.65,24,8,1,0,0
1010007,"Low",1145,24.13,19,10,4,0,0
1010008,"Low",887,57.85,16,9,5,1,0
1010009,"Low",396,5.34,3,0,4,5,0
1010010,"Low",1027,35.28,13,6,6,5,0
1010011,"High",1430,93.38,8,9,9,2,0
1010012,"Low",183,61.71,3,6,5,2,0
1010013,"Low",133,89.94,23,7,6,4,0
1010014,"High",560,10.82,21,11,2,5,0
